frame,id,nose_x,nose_y
434,8,1441,355
434,73,3290,235
434,60,335,441
435,1,1195,267
435,8,1426,360
435,73,3289,250
435,60,327,440
436,1,1198,266
436,8,1422,357
436,73,3272,230
436,60,322,442
437,1,1195,262
437,8,1434,362
437,73,3274,240
437,60,316,445
438,1,1199,260
438,8,1499,354
438,73,3260,239
438,60,310,446
439,1,1196,260
439,8,1489,356
439,73,3245,230
439,60,302,442
440,1,1197,260
440,8,1489,353
440,73,3240,225
440,60,294,438
441,1,1202,261
441,8,1437,347
441,73,3235,226
441,60,285,435
442,1,1202,263
442,8,1462,338
442,73,3228,219
442,60,280,428
443,1,1203,262
443,8,1487,351
443,73,3217,206
443,60,272,426
444,1,1203,260
444,8,1428,350
444,73,3208,205
444,60,264,428
445,1,1202,261
445,8,1357,345
445,73,3198,198
445,60,265,430
446,1,1202,262
446,8,1331,359
446,73,3184,200
446,60,253,428
447,1,1201,257
447,8,1319,363
447,73,3172,200
447,60,239,424
448,1,1201,254
448,8,1326,349
448,73,3168,198
448,60,236,427
449,1,1192,259
449,8,1462,369
449,73,3157,207
449,60,230,428
450,1,1200,260
450,8,1395,358
450,73,3148,210
450,60,234,424
451,1,1198,254
451,8,1454,368
451,73,3139,206
451,60,220,425
452,1,1198,255
452,8,1434,375
452,73,3135,202
452,60,217,423
453,1,1196,259
453,8,1394,366
453,73,3118,191
453,60,199,418
453,91,1910,283
454,1,1194,262
454,8,1402,365
454,73,3105,182
454,60,197,422
454,91,1907,282
455,1,1197,264
455,8,1363,372
455,73,3091,177
455,60,192,424
455,91,1902,282
456,1,1198,265
456,8,1346,369
456,73,3086,175
456,60,191,425
456,91,1896,284
457,1,1199,264
457,8,1316,357
457,73,3079,175
457,60,187,424
457,91,1893,282
458,1,1200,265
458,8,1316,355
458,73,3076,180
458,60,177,428
458,91,1896,284
459,1,1203,265
459,8,1320,347
459,73,3066,181
459,60,173,427
459,91,1892,285
460,1,1205,264
460,8,1328,381
460,73,3056,176
460,60,172,431
460,91,1891,285
461,1,1212,269
461,73,3053,181
461,60,157,434
461,91,1889,285
462,1,1214,273
462,73,3037,173
462,60,154,435
